section,f1_origin,f1_swapped,delta_f1,abs_delta_f1,change_type
SO,0.991533396048918,0.969529085872576,-0.022004310176341968,0.022004310176341968,경미 (1~3%p)
GB,0.994011976047904,0.9721115537848606,-0.02190042226304345,0.02190042226304345,경미 (1~3%p)
EC,0.9927431059506532,0.9906015037593984,-0.00214160219125481,0.00214160219125481,변화 없음 (<1%p)
IS,0.99023709902371,0.9912790697674418,0.0010419707437318015,0.0010419707437318015,변화 없음 (<1%p)
PO,0.9722222222222222,0.9794520547945206,0.007229832572298367,0.007229832572298367,변화 없음 (<1%p)
LC,0.9779559118236472,0.99023709902371,0.012281187200062882,0.012281187200062882,경미 (1~3%p)
ET,0.9811965811965812,0.994011976047904,0.012815394851322881,0.012815394851322881,경미 (1~3%p)
