section,n,n_pos(clickbait),n_neg(non),accuracy,precision,recall,f1,tn,fp,fn,tp,FPR,FPR_ci_lo,FPR_ci_hi,FNR,FNR_ci_lo,FNR_ci_hi,TPR,TNR,AUROC,Brier,ECE(10bins),p_clickbait_mean
SO,1005,529,476,0.991044776119403,0.9868913857677900,0.996219281663516,0.9915333960489180,469,7,2,527,0.014705882352941200,0.007141299982921970,0.03004097016622730,0.003780718336483930,0.0010374006386766700,0.013679168037642900,0.996219281663516,0.9852941176470590,0.998455147654525,0.008199841232322540,0.0034639306168551800,0.5342974572632440
GB,772,417,355,0.9935233160621760,0.992822966507177,0.9952038369304560,0.9940119760479040,352,3,2,415,0.008450704225352110,0.002878029735126550,0.02454799890815230,0.004796163069544360,0.0013162402177928000,0.01731689871143850,0.9952038369304560,0.9915492957746480,0.9993650150302290,0.005009844137718430,0.005855155591366730,0.5415490204806160
EC,729,343,386,0.9931412894375860,0.9884393063583820,0.9970845481049560,0.9927431059506530,382,4,1,342,0.010362694300518100,0.004036957489111090,0.02633845652519630,0.0029154518950437300,0.0005148211219316010,0.016327449240101100,0.9970845481049560,0.9896373056994820,0.9997431985377420,0.005841690639604370,0.005161989620942350,0.47483898680887100
PO,715,361,354,0.972027972027972,0.9749303621169920,0.9695290858725760,0.9722222222222220,345,9,11,350,0.025423728813559300,0.013431875472456000,0.04760518673607430,0.030470914127423800,0.01709790701077940,0.053731735223001000,0.9695290858725760,0.9745762711864410,0.9960757156048020,0.021449750349686000,0.0159605221939028,0.5046688479977050
IS,645,360,285,0.9891472868217050,0.9943977591036420,0.9861111111111110,0.9902370990237100,283,2,5,355,0.007017543859649120,0.0019265375531811800,0.02522190643826600,0.013888888888888900,0.005946618004726730,0.03209631056638770,0.9861111111111110,0.9929824561403510,0.9996198830409360,0.007309727504244350,0.006360709525759980,0.5582033083420390
ET,598,294,304,0.9816053511705690,0.9862542955326460,0.9761904761904760,0.9811965811965810,300,4,7,287,0.013157894736842100,0.005128342581675780,0.033338193455039200,0.023809523809523800,0.011580038835282800,0.048322943152458300,0.9761904761904760,0.9868421052631580,0.9974657626208380,0.016104190493130800,0.007776515124957540,0.49036670927220000
LC,536,245,291,0.9794776119402990,0.9606299212598430,0.9959183673469390,0.9779559118236470,281,10,1,244,0.03436426116838490,0.018770961313407400,0.062091440735692900,0.004081632653061230,0.0007208535639181140,0.022754321004964300,0.9959183673469390,0.9656357388316150,0.9980994459639530,0.018454848062820400,0.009159813689095970,0.47819224400306800
