section,n_total,n_labeled,label_coverage,clickbait_rate_true,title_chars_mean,title_chars_median,title_chars_p90,body_chars_mean,body_chars_median,body_chars_p90,title_words_mean,title_words_median,title_words_p90,body_words_mean,body_words_median,body_words_p90,logit_mean,logit_median,logit_min,logit_max,logit_p90
SO,1005,1005,1.0,0.5263681592039801,28.019900497512438,28.0,36.0,984.3014925373134,869.0,1632.8000000000002,6.920398009950249,7.0,9.0,228.83880597014925,201.0,390.0,2.4941542288557215,1.375,-7.875,13.25,11.875
GB,772,772,1.0,0.5401554404145078,29.91839378238342,29.0,36.0,956.7098445595855,889.5,1500.0,7.94300518134715,8.0,10.0,226.83290155440415,211.0,356.0,2.4876943005181347,1.5625,-7.5,12.875,11.625
EC,729,729,1.0,0.47050754458161864,28.29355281207133,29.0,36.0,957.4951989026063,879.0,1487.2,6.809327846364884,7.0,9.0,219.23731138545952,203.0,345.4000000000001,1.2983539094650205,-2.875,-8.0,13.25,11.625
PO,715,715,1.0,0.5048951048951049,29.67972027972028,30.0,37.0,1308.9650349650349,1169.0,2135.0,7.86013986013986,8.0,10.0,316.193006993007,281.0,520.0000000000001,1.7938811188811188,-0.5,-7.375,13.125,10.75
IS,645,645,1.0,0.5581395348837209,29.693023255813955,29.0,38.0,1092.8558139534885,1061.0,1642.6000000000001,7.057364341085271,7.0,9.0,251.85891472868218,237.0,381.6,2.662403100775194,2.625,-7.75,13.125,11.5
ET,598,598,1.0,0.4916387959866221,28.876254180602007,28.0,39.0,759.1973244147157,696.0,1125.0,7.453177257525083,7.0,10.0,183.90133779264215,168.5,279.60000000000014,1.3961120401337792,-1.0,-7.0,12.25,10.375
LC,536,536,1.0,0.457089552238806,23.880597014925375,23.0,34.0,1282.0597014925372,1228.0,2058.5,6.173507462686567,6.0,9.0,309.1473880597015,295.0,499.0,1.1322294776119404,-2.375,-7.125,12.875,10.5625
