section,n,n_pos(clickbait),n_neg(non),accuracy,precision,recall,f1,AUROC,Brier,ECE(10bins),tn,fp,fn,tp,FPR,FPR_ci_lo,FPR_ci_hi,FNR,FNR_ci_lo,FNR_ci_hi,TPR,TNR,logit_diff_mean,logit_diff_median,logit_diff_p90,p1_mean,conf_mean
SO,1005,529,476,0.9771144278606965,0.9846743295019157,0.9716446124763705,0.978116079923882,0.9969917078362536,0.019491129418505202,0.010469635465016693,468,8,15,514,0.01680672268907563,0.008540183168519544,0.03281012910119613,0.02835538752362949,0.01725756357000404,0.046253994086154944,0.9716446124763705,0.9831932773109243,2.4941542288557215,1.375,11.875,0.5198941700494112,0.9811450559701492
GB,772,417,355,0.9572538860103627,0.9705882352941176,0.9496402877697842,0.96,0.9931536460972067,0.03185638633520925,0.019492153855225763,343,12,21,396,0.03380281690140845,0.019440303800202757,0.05814713310789263,0.050359712230215826,0.033171037370673784,0.07575735754085587,0.9496402877697842,0.9661971830985916,2.4876943005181347,1.5625,11.625,0.5307932245916653,0.9755100388601037
EC,729,343,386,0.9862825788751715,0.9911504424778761,0.9795918367346939,0.9853372434017595,0.997786975634073,0.01206051649620818,0.008120318708711136,383,3,7,336,0.007772020725388601,0.0026465904620726136,0.022598534737495624,0.02040816326530612,0.00991999124869598,0.04152020508300125,0.9795918367346939,0.9922279792746114,1.2983539094650205,-2.875,11.625,0.4631716514974628,0.9812992969821673
PO,715,361,354,0.9384615384615385,0.9594202898550724,0.9168975069252078,0.9376770538243626,0.9757774230402053,0.049789319430002484,0.028550357043635108,340,14,30,331,0.03954802259887006,0.02370150844361222,0.06528087929442608,0.08310249307479224,0.05882899091431183,0.11615544068559343,0.9168975069252078,0.96045197740113,1.7938811188811188,-0.5,10.75,0.49311157439972136,0.9596481643356644
IS,645,360,285,0.9720930232558139,1.0,0.95,0.9743589743589743,0.9956578947368422,0.022478752922494138,0.013684968705032587,285,0,18,342,0.0,0.0,0.013300023265346819,0.05,0.031858051001780976,0.07764454573262213,0.95,1.0,2.662403100775194,2.625,11.5,0.5350341442019441,0.9795179263565892
ET,598,294,304,0.9565217391304348,0.975177304964539,0.935374149659864,0.9548611111111112,0.9856001611170784,0.038119692365736445,0.02276892611986898,297,7,19,275,0.023026315789473683,0.011197619445592753,0.04675945977956719,0.06462585034013606,0.04175948083787026,0.09872324555092166,0.935374149659864,0.9769736842105263,1.3961120401337792,-1.0,10.375,0.4796920763609003,0.9573578595317725
LC,536,245,291,0.9720149253731343,0.9752066115702479,0.963265306122449,0.9691991786447639,0.9946770460761625,0.024512863407577624,0.0131667760100024,285,6,9,236,0.020618556701030927,0.00948297591902151,0.044246212906435954,0.036734693877551024,0.019444287984616986,0.06832881747684927,0.963265306122449,0.979381443298969,1.1322294776119404,-2.375,10.5625,0.4560678610161169,0.966366895988806
