section,percentile,logit_diff_1m0,p1_from_logit
EC,0,-8.0,0.0003353501304664781
EC,1,-7.5,0.0005527786369235996
EC,2,-7.375,0.0006263341581094202
EC,3,-7.25,0.0007096703991005881
EC,4,-7.125,0.0008040859356292356
EC,5,-7.125,0.0008040859356292356
EC,6,-7.0,0.0009110511944006454
EC,7,-6.879999999999999,0.0010270880507115216
EC,8,-6.875,0.0010322310367548194
EC,9,-6.75,0.0011695102650555148
EC,10,-6.75,0.0011695102650555148
EC,11,-6.625,0.0013250224172131609
EC,12,-6.625,0.0013250224172131609
EC,13,-6.625,0.0013250224172131609
EC,14,-6.625,0.0013250224172131609
EC,15,-6.5,0.0015011822567369917
EC,16,-6.5,0.0015011822567369917
EC,17,-6.5,0.0015011822567369917
EC,18,-6.375,0.001700722411435288
EC,19,-6.375,0.001700722411435288
EC,20,-6.25,0.0019267346633274757
EC,21,-6.25,0.0019267346633274757
EC,22,-6.25,0.0019267346633274757
EC,23,-6.125,0.0021827164453451808
EC,24,-6.125,0.0021827164453451808
EC,25,-6.125,0.0021827164453451808
EC,26,-6.0,0.0024726231566347743
EC,27,-6.0,0.0024726231566347743
EC,28,-5.875,0.0028009269671209736
EC,29,-5.875,0.0028009269671209736
EC,30,-5.875,0.0028009269671209736
EC,31,-5.75,0.0031726828424851893
EC,32,-5.75,0.0031726828424851893
EC,33,-5.625,0.00359360258142009
EC,34,-5.625,0.00359360258142009
EC,35,-5.5,0.004070137715896128
EC,36,-5.5,0.004070137715896128
EC,37,-5.375,0.004609572179374208
EC,38,-5.25,0.005220125693558397
EC,39,-5.125,0.005911068856243796
EC,40,-5.0,0.0066928509242848554
EC,41,-4.875,0.007577241267860811
EC,42,-4.75,0.008577485413711984
EC,43,-4.625,0.009708476481474066
EC,44,-4.5,0.01098694263059318
EC,45,-4.5,0.01098694263059318
EC,46,-4.25,0.014063627043245475
EC,47,-4.0,0.01798620996209156
EC,48,-3.625,0.025957357197796852
EC,49,-3.375,0.033085978388704126
EC,50,-2.875,0.05340332979982423
EC,51,-2.4649999999999963,0.07834852496305991
EC,52,-1.9299999999999997,0.1267505801221408
EC,53,-0.43499999999998806,0.39293301192829927
EC,54,0.375,0.5926665999540697
EC,55,0.9250000000000043,0.7160597938157107
EC,56,1.75,0.8519528019683106
EC,57,2.2449999999999974,0.9042183719036722
EC,58,3.125,0.9579122720843811
EC,59,3.625,0.9740426428022031
EC,60,4.600000000000001,0.9900481981330957
EC,61,5.259999999999998,0.9948315469697114
EC,62,5.670000000000002,0.9965639816522461
EC,63,6.454999999999998,0.9984298300294412
EC,64,7.105000000000004,0.999179683775874
EC,65,7.799999999999997,0.9995904328350139
EC,66,8.625,0.9998204720306533
EC,67,9.345000000000006,0.9999126063032542
EC,68,9.625,0.9999339478551454
EC,69,9.75,0.9999417087343389
EC,70,10.0,0.9999546021312976
EC,71,10.11,0.999959330847226
EC,72,10.144999999999996,0.9999607295908753
EC,73,10.375,0.9999687980886061
EC,74,10.465000000000003,0.9999714835235556
EC,75,10.625,0.9999756997592568
EC,76,10.659999999999997,0.9999765355363104
EC,77,10.75,0.9999785550515792
EC,78,10.75,0.9999785550515792
EC,79,10.875,0.999981074851754
EC,80,10.875,0.999981074851754
EC,81,11.0,0.999983298578152
EC,82,11.0,0.999983298578152
EC,83,11.125,0.9999852610180254
EC,84,11.25,0.9999869928715335
EC,85,11.25,0.9999869928715335
EC,86,11.375,0.999988521231873
EC,87,11.375,0.999988521231873
EC,88,11.5,0.9999898700090192
EC,89,11.5,0.9999898700090192
EC,90,11.625,0.9999910603036951
EC,91,11.685000000000002,0.9999915809066962
EC,92,11.75,0.9999921107374138
EC,93,11.875,0.9999930377437499
EC,94,12.0,0.9999938558253978
EC,95,12.125,0.9999945777810301
EC,96,12.25,0.9999952149055051
EC,97,12.375,0.9999957771665553
EC,98,12.5,0.9999962733607158
EC,99,12.75,0.9999970976880148
EC,100,13.25,0.9999982396567868
ET,0,-7.0,0.0009110511944006454
ET,1,-6.625,0.0013250224172131609
ET,2,-6.625,0.0013250224172131609
ET,3,-6.5,0.0015011822567369917
ET,4,-6.375,0.001700722411435288
ET,5,-6.25,0.0019267346633274757
ET,6,-6.125,0.0021827164453451808
ET,7,-6.0,0.0024726231566347743
ET,8,-5.905,0.0027183720916136855
ET,9,-5.875,0.0028009269671209736
