,Mean,Median,95th Percentile
"baseline(v0으로 가정, 사실은 v1에서 추출)",5.092686,5.098873783,5.208998
v1,5.095858,5.088406102,5.229005
v1 - v0 gap,0.003172,-0.010467681,0.020007
