group,n,mean,std,min,p01,p05,p10,p50,p90,p95,p99,max
OVERALL,101,-5.987623762376238,1.0354939974916755,-7.25,-7.0,-6.875,-6.875,-6.375,-4.75,-3.875,-2.875,-0.5
section=Emergency_NationalSafety,101,-5.987623762376238,1.0354939974916755,-7.25,-7.0,-6.875,-6.875,-6.375,-4.75,-3.875,-2.875,-0.5
