month,section,Median,Q90,Q95,Q99,Count
2021-01-01,EC,2.71008038520813,3.0808760643005373,3.1963370800018307,3.5305466318130496,55.0
2021-01-01,ET,3.0023844242095947,3.0023844242095947,3.0023844242095947,3.0023844242095947,1.0
2021-01-01,GB,2.5942063331604004,2.9844231843948363,3.118164360523224,3.286376383304596,314.0
2021-01-01,IS,2.668896436691284,3.059717082977295,3.1585542917251583,3.3664933395385734,119.0
2021-01-01,LC,3.1308557987213135,3.6243821144104005,3.7389271020889274,3.9554284238815303,35.0
2021-01-01,PO,2.9165749549865723,3.2353010177612305,3.370963287353516,3.6324578666687013,109.0
2021-01-01,SO,2.524937152862549,3.0259361743927005,3.191915488243103,3.425111498832703,372.0
2021-02-01,EC,2.7568371295928955,3.134561538696289,3.2476131916046143,3.387291955947876,61.0
2021-02-01,ET,3.555986166000366,3.698338270187378,3.7161322832107544,3.7303674936294557,3.0
2021-02-01,GB,2.6274412870407104,2.994888424873352,3.108360767364502,3.2702997374534637,278.0
2021-02-01,IS,2.7075878381729126,3.089261221885681,3.187836766242981,3.3811088609695434,102.0
2021-02-01,LC,3.105839967727661,3.6042972564697267,3.7916983604431147,3.912733812332153,25.0
2021-02-01,PO,2.883475184440613,3.2034715414047246,3.2896728396415713,3.418750319480896,92.0
2021-02-01,SO,2.530712842941284,2.9933505058288574,3.0675605297088615,3.2410540437698363,303.0
2021-03-01,EC,2.7124180793762207,3.1435888051986693,3.239240574836731,3.342090034484863,62.0
2021-03-01,ET,2.958885908126831,3.0130065441131593,3.01977162361145,3.025183687210083,2.0
2021-03-01,GB,2.6513822078704834,3.0587583065032957,3.192754602432251,3.4596481180191043,295.0
2021-03-01,IS,2.691741108894348,3.107354235649109,3.230600655078888,3.354428369998932,110.0
2021-03-01,LC,3.2652673721313477,3.643640804290772,4.0138060569763185,4.18602689743042,20.0
2021-03-01,PO,2.8432998657226562,3.1944630622863768,3.317358469963074,3.520683879852295,123.0
2021-03-01,SO,2.526129364967346,3.0071859598159794,3.163386857509613,3.4039615583419818,322.0
2021-04-01,EC,2.6677637100219727,3.1331833362579347,3.1570731163024903,3.197709929943085,50.0
2021-04-01,ET,2.7275712490081787,2.7275712490081787,2.7275712490081787,2.7275712490081787,1.0
2021-04-01,GB,2.645085573196411,3.054196834564209,3.1966179609298706,3.3745966482162477,307.0
2021-04-01,IS,2.6667473316192627,3.0353601932525636,3.131449270248413,3.5880130958557137,125.0
2021-04-01,LC,3.182944893836975,3.7469057083129886,3.8436121702194215,3.850236692428589,22.0
2021-04-01,PO,2.848036289215088,3.290316581726074,3.3997649431228636,3.482919807434082,115.0
2021-04-01,SO,2.557515859603882,2.9962252616882328,3.1356524348258974,3.450340325832367,370.0
2021-05-01,EC,2.77774441242218,3.2000092267990112,3.291748583316803,3.4855991005897518,36.0
2021-05-01,ET,3.5625,3.776846504211426,3.803639817237854,3.8250744676589967,3.0
2021-05-01,GB,2.635115385055542,3.0531451225280763,3.1906746864318847,3.3575663805007925,287.0
2021-05-01,IS,2.6844685077667236,3.0366679668426513,3.1214009523391724,3.31678331375122,108.0
2021-05-01,LC,3.2780539989471436,3.57873055934906,3.6511525392532347,4.380437757968902,22.0
2021-05-01,PO,2.8352006673812866,3.2667989253997805,3.3785963892936706,3.482646822929382,94.0
2021-05-01,SO,2.5244925022125244,3.045633316040039,3.150998830795288,3.348633551597595,311.0
2021-06-01,EC,2.5731449127197266,2.9932187080383303,3.111615991592407,3.396542425155636,317.0
2021-06-01,ET,3.1527976989746094,3.1527976989746094,3.1527976989746094,3.1527976989746094,1.0
2021-06-01,GB,2.6393983364105225,3.049383354187012,3.1531662464141847,3.3080117034912107,305.0
2021-06-01,IS,2.6561765670776367,3.1006926536560058,3.220483255386352,3.470685091018676,137.0
2021-06-01,LC,3.314575672149658,3.5771689414978027,3.6885297298431396,4.230564832687379,21.0
2021-06-01,PO,2.8573575019836426,3.272468376159668,3.4500032186508176,3.593128218650818,99.0
2021-06-01,SO,2.5507068634033203,2.9777876853942873,3.157377672195434,3.4935049152374233,343.0
2021-07-01,EC,2.535473585128784,2.9891742706298827,3.0962110519409176,3.272218580245972,429.0
2021-07-01,ET,3.072127103805542,3.5505926609039307,3.6059377193450928,3.9019533443450922,69.0
2021-07-01,GB,2.69181752204895,3.046792674064636,3.1562465310096743,3.309045555591583,330.0
2021-07-01,IS,2.591259241104126,2.991143226623535,3.1803945302963257,3.3025453209877007,116.0
2021-07-01,LC,3.0219184160232544,3.8814836502075196,4.030509114265442,4.388225283622742,40.0
2021-07-01,PO,2.874537706375122,3.233303952217102,3.310995054244995,3.524572014808655,118.0
2021-07-01,SO,2.537447452545166,3.074262762069702,3.1746631145477298,3.4931382751464843,345.0
2021-08-01,EC,2.600977063179016,3.0409237861633303,3.190316760540008,3.4742198634147643,398.0
2021-08-01,ET,3.068178415298462,3.460050392150879,3.5083030223846436,3.707925028800964,248.0
2021-08-01,GB,2.6923654079437256,3.0607447624206543,3.1369211673736572,3.3756896018981943,341.0
2021-08-01,IS,2.6944658756256104,3.0899410247802734,3.2138583660125732,3.3130224657058718,107.0
2021-08-01,LC,3.0740857124328613,3.6426332473754885,3.7562383651733398,3.777084903717041,23.0
2021-08-01,PO,2.8510732650756836,3.2412455081939697,3.335403084754944,3.4958040952682503,171.0
2021-08-01,SO,2.5190218687057495,3.038439989089966,3.188674342632293,3.6157229733467067,304.0
2021-09-01,EC,2.5818212032318115,2.9748080730438233,3.0690365076065063,3.327392210960388,348.0
