section,n_ref,M,q,T_mean_nll,T_ppl,p_tail,E_X7,k_pre,P_pre_alarm,P_X1_ge_2
EC,8925,50,0.9943977591036415,3.558751106262207,35.11930945962352,0.0056022408963585435,1.9607843137254901,7,0.003955283684476667,0.03219047787803782
ET,7831,50,0.9936151193972673,3.909961700439453,49.89704090207236,0.006384880602732729,2.2347082109564553,7,0.007863609976359081,0.040799246553625504
GB,9812,50,0.9949041989400734,3.436861276626587,31.089224393638432,0.005095801059926621,1.783530370974317,6,0.009748919442028143,0.02706080854935835
IS,8762,50,0.9942935402876055,3.527918577194214,34.053015077067904,0.0057064597123944304,1.9972608993380507,7,0.004365063198644517,0.03329020811938251
LC,6884,50,0.9927367809413132,4.224508285522461,68.34089107981475,0.00726321905868681,2.5421266705403838,8,0.004509375421748655,0.051366488629913734
PO,8563,50,0.9941609249094944,3.693774938583374,40.19629947725983,0.005839075090505664,2.0436762816769822,7,0.004931951011485872,0.03471073957682175
SO,12567,50,0.9960213256942787,3.6730246543884277,39.37080903948123,0.003978674305721333,1.3925360070024666,6,0.003042017146423982,0.01708766314585876
