week_start,section,Median,Q75,Q90,Q95,Q99,Count,Mean
2006-01-31,EC,2.1127452850341797,2.1127452850341797,2.1127452850341797,2.1127452850341797,2.1127452850341797,1.0,2.1127452850341797
2006-04-25,PO,2.7689476013183594,2.7689476013183594,2.7689476013183594,2.7689476013183594,2.7689476013183594,1.0,2.7689476013183594
2006-05-02,PO,2.7180867195129395,2.7180867195129395,2.7180867195129395,2.7180867195129395,2.7180867195129395,1.0,2.7180867195129395
2006-05-09,PO,2.4797587394714355,2.4797587394714355,2.4797587394714355,2.4797587394714355,2.4797587394714355,1.0,2.4797587394714355
2006-05-16,PO,1.9655086994171143,1.9655086994171143,1.9655086994171143,1.9655086994171143,1.9655086994171143,1.0,1.9655086994171143
2006-05-23,PO,2.2879045009613037,2.2879045009613037,2.2879045009613037,2.2879045009613037,2.2879045009613037,1.0,2.2879045009613037
2006-05-30,PO,3.8502423763275146,3.8502423763275146,3.8502423763275146,3.8502423763275146,3.8502423763275146,1.0,3.8502423763275146
2006-07-11,PO,2.9439384937286377,2.9439384937286377,2.9439384937286377,2.9439384937286377,2.9439384937286377,1.0,2.9439384937286377
2006-07-18,PO,3.0584027767181396,3.1751651763916016,3.2452226161956785,3.268575096130371,3.287257080078125,2.0,3.0584027767181396
2006-07-25,PO,2.8044991493225098,2.9992679953575134,3.16069438457489,3.214503180980682,3.257550218105316,4.0,2.8639197945594788
2006-08-01,PO,3.0525200366973877,3.0525200366973877,3.0525200366973877,3.0525200366973877,3.0525200366973877,1.0,3.0525200366973877
2006-08-08,PO,2.834671974182129,2.834671974182129,2.834671974182129,2.834671974182129,2.834671974182129,1.0,2.834671974182129
2006-08-15,PO,2.8124393224716187,2.817428767681122,2.8204224348068236,2.8214203238487245,2.822218635082245,2.0,2.8124393224716187
2006-08-22,PO,3.0539181232452393,3.1387758255004883,3.189690446853638,3.2066619873046873,3.2202392196655274,3.0,3.0234032471974692
2006-08-29,PO,3.033726453781128,3.033726453781128,3.033726453781128,3.033726453781128,3.033726453781128,1.0,3.033726453781128
2006-09-05,PO,2.8907265663146973,2.8907265663146973,2.8907265663146973,2.8907265663146973,2.8907265663146973,1.0,2.8907265663146973
2006-09-12,PO,2.5857598781585693,2.5857598781585693,2.5857598781585693,2.5857598781585693,2.5857598781585693,1.0,2.5857598781585693
2006-09-19,PO,2.706101417541504,2.706101417541504,2.706101417541504,2.706101417541504,2.706101417541504,1.0,2.706101417541504
2006-09-26,PO,2.8103867769241333,2.8683099150657654,2.9030637979507445,2.9146484255790712,2.923916127681732,2.0,2.8103867769241333
2006-10-10,PO,2.4357879161834717,2.593070864677429,2.749998760223389,2.8023080587387086,2.844155497550964,4.0,2.5193856358528137
2006-10-17,PO,2.7325351238250732,2.844576835632324,2.9118018627166746,2.934210205078125,2.952136878967285,2.0,2.7325351238250732
2006-10-31,PO,2.9037716388702393,2.9986870288848877,3.055636262893677,3.0746193408966063,3.08980580329895,2.0,2.9037716388702393
2006-11-07,PO,2.9330445528030396,2.9599151015281677,2.9760374307632445,2.98141154050827,2.9857108283042906,2.0,2.9330445528030396
2006-11-14,PO,2.5433387756347656,2.5433387756347656,2.5433387756347656,2.5433387756347656,2.5433387756347656,1.0,2.5433387756347656
2006-11-21,PO,3.1862809658050537,3.1862809658050537,3.1862809658050537,3.1862809658050537,3.1862809658050537,1.0,3.1862809658050537
2006-11-28,PO,2.844717264175415,2.9478650093078613,3.0097536563873293,3.0303832054138184,3.0468868446350097,3.0,2.839139938354492
2006-12-05,PO,2.704620122909546,2.704620122909546,2.704620122909546,2.704620122909546,2.704620122909546,1.0,2.704620122909546
2006-12-12,PO,2.8676462173461914,3.0715672969818115,3.1939199447631834,3.2347041606903075,3.267331533432007,3.0,2.8396173318227134
2006-12-19,LC,2.3899483680725098,2.3899483680725098,2.3899483680725098,2.3899483680725098,2.3899483680725098,1.0,2.3899483680725098
2006-12-19,PO,2.6336467266082764,2.6336467266082764,2.6336467266082764,2.6336467266082764,2.6336467266082764,1.0,2.6336467266082764
2007-01-02,PO,2.87050199508667,2.9455389976501465,3.0120826721191407,3.0342638969421385,3.052008876800537,4.0,2.7170846462249756
2007-01-09,PO,2.513828992843628,2.5296841859817505,2.539197301864624,2.5423683404922484,2.544905171394348,3.0,2.5096638997395835
2007-01-16,PO,2.7572078704833984,2.883770763874054,2.9710817098617555,3.0001853585243223,3.023468277454376,4.0,2.780899167060852
2007-01-23,PO,3.1073992252349854,3.1457910537719727,3.168826150894165,3.1765045166015624,3.1826472091674805,2.0,3.1073992252349854
2007-01-30,PO,2.9048349857330322,3.172439754009247,3.252119708061218,3.2786796927452087,3.299927680492401,4.0,2.8251938223838806
